scheme,model,subset,n,r,r2,rmse,mae,mb,nmb,slope,mean_obs
site,stack,ghana_reference,155,0.8775947476179728,0.7656200376243806,5.273020462535996,3.7217780385082015,-0.3018931801453628,-0.0140482111582113,0.7161862424032671,21.4897951593575
site,stack,reference_all,791,0.7225706780933357,0.4746758716970929,18.90263458916308,11.867241626611136,3.2462845773227023,0.1038593116158869,0.6512420714321928,31.256557807053
site,stack,ghana_north(>8N),278,0.9263724537045884,0.3392012340334829,6.748113958843908,5.427559870334453,5.208217694047736,0.18010341345268,1.1861327766384997,28.917928839900267
site,stack,ghana_south(<=8N),18117,0.903267846084268,0.7992422987788563,3.291074041846792,2.133117478793996,0.7711667668246318,0.0425946820338807,0.8836539219170653,18.1047663699245
site,stack,harmattan(DJF),7078,0.8570060365189333,0.723310396286658,7.536316378327133,4.186200411853971,1.0111716875761687,0.0342427470164052,0.8017649377014121,29.529514296610884
site,stack,non_harmattan,26019,0.8458793095054176,0.7060600083935149,4.082370669547143,2.622820346822863,0.6215265145926238,0.0346169902798,0.7589620717562682,17.954377592303313
site,stack_rk,all,33097,0.8833898336470353,0.7725344954406371,5.024725707289331,2.9571589303890526,0.7048545665120585,0.034501307621114,0.8316378488307927,20.42979281401794
site,stack_rk,ghana,18395,0.9048332512663896,0.7969224115329265,3.3698177041599826,2.182905735649024,0.8382230406907925,0.0458843123646883,0.9056796699899664,18.268183557565344
site,stack_rk,ghana_reference,155,0.8775947476179728,0.7656200376243806,5.273020462535996,3.7217780385082015,-0.3018931801453628,-0.0140482111582113,0.7161862424032671,21.4897951593575
site,stack_rk,reference_all,791,0.7225706780933357,0.4746758716970929,18.90263458916308,11.867241626611136,3.2462845773227023,0.1038593116158869,0.6512420714321928,31.256557807053
site,stack_rk,ghana_north(>8N),278,0.9263724537045884,0.3392012340334829,6.748113958843908,5.427559870334453,5.208217694047736,0.18010341345268,1.1861327766384997,28.917928839900267
site,stack_rk,ghana_south(<=8N),18117,0.903267846084268,0.7992422987788563,3.291074041846792,2.133117478793996,0.7711667668246318,0.0425946820338807,0.8836539219170653,18.1047663699245
site,stack_rk,harmattan(DJF),7078,0.8570060365189333,0.723310396286658,7.536316378327133,4.186200411853971,1.0111716875761687,0.0342427470164052,0.8017649377014121,29.529514296610884
site,stack_rk,non_harmattan,26019,0.8458793095054176,0.7060600083935149,4.082370669547143,2.622820346822863,0.6215265145926238,0.0346169902798,0.7589620717562682,17.954377592303313
random,cams_raw,all,33097,0.7054315203221526,0.0618642459615442,10.204398985188387,7.804268349199016,-6.561420308393297,-0.3211692046084367,0.652023355505275,20.42979281401794
random,cams_raw,ghana,18395,0.707443746609052,-0.4140637169719707,8.892213845787778,7.277168614480545,-6.617052153156787,-0.3622173015891603,0.757026775562755,18.268183557565344
random,cams_raw,ghana_reference,155,0.8718707228003637,0.1052922171746849,10.302433600048351,8.600983160477462,-8.429852233996606,-0.3922723400332608,0.5541199756661259,21.4897951593575
random,cams_raw,reference_all,791,0.7695630017038074,0.5351436824334133,17.78148523487426,12.255329532375534,-5.163656644108539,-0.1652023449281855,0.6951374118925192,31.256557807053
random,cams_raw,ghana_north(>8N),278,0.6366754091848444,-3.4516446190581656,17.514915235077225,16.023586914389938,-12.403241362644366,-0.4289118156183672,1.2168572402696112,28.917928839900267
random,cams_raw,ghana_south(<=8N),18117,0.7139989944078232,-0.4008422573503258,8.693530117688267,7.142957415751462,-6.528264793205495,-0.36058265872186,0.7578512837047343,18.1047663699245
random,cams_raw,harmattan(DJF),7078,0.714814620261073,0.1187681158073232,13.449551507212606,10.311951253972731,-7.601250937681191,-0.257411986574855,0.7488049262724843,29.529514296610884
random,cams_raw,non_harmattan,26019,0.5439263274403804,-0.4682827691841866,9.124056111772584,7.122098411845991,-6.278553126945135,-0.3496948359622683,0.4385984074213592,17.954377592303313
random,cams_linear,all,33097,0.7222982477032673,0.4000382081736426,8.160492756663913,4.389764232976319,-0.5288916019390333,-0.025888250887015,0.7710451808364233,20.42979281401794
random,cams_linear,ghana,18395,0.7170670549630397,0.4708098802838987,5.439779203716924,3.2527982497146466,-0.321363562390821,-0.0175914349326611,0.6603127745110746,18.268183557565344
random,cams_linear,ghana_reference,155,0.8730436442261126,0.5787474030701327,7.069203961679069,4.692919089198374,-2.6252547864938736,-0.1221628576273671,0.4530909931584996,21.4897951593575
random,cams_linear,reference_all,791,0.6014669880560608,-0.083264347903144,27.14412769492093,15.94405317944224,4.367208169485544,0.1397213409244984,0.7501565942811497,31.256557807053
random,cams_linear,ghana_north(>8N),278,0.7382449455444747,-8.600203705584091,25.721010144234235,13.70421540493902,8.334427285342247,0.2882096892721654,2.6509093146798133,28.917928839900267
